index,timestamp,FRx,FRy,FRz,MRx,MRy,MRz
1924,69.806732,0.24736074443563585,-0.03245072402817876,-1.5152249734783887,1.197143554063544,-3.6516549522519903,-2.065168513435963
1925,69.837984,0.20586995939012442,-0.08067739606265352,-0.9618576979064778,0.9185661618612624,-2.4168232429445085,-1.3218861602807803
1926,69.873135,0.1605418524533824,-0.10568632802164044,-0.6521889882553653,0.7096172668317575,-1.7313853433186517,-0.8314998983459376
1927,69.904385,0.12141984932130301,-0.11996324293282115,-0.5149764872685096,0.6701018084792116,-1.5926558697158062,-0.5542582456841821
1928,69.935619,0.08707823016816105,-0.1276919164485627,-0.533139346657043,0.8954920536053204,-1.652717916853223,-0.488868413843945
1929,69.968831,0.07160865939984391,-0.13178950183363036,-0.6687376315701201,1.276723973597901,-2.2138222908578955,-0.5861363132096479
1930,69.998133,0.08441488332782712,-0.12590300687047037,-0.9857300730981997,2.014198734732841,-3.009451275925306,-0.8248382530383133
1931,70.029385,0.13666530541184144,-0.09995327124402292,-1.5420707415730874,2.8834494234227206,-4.357633070309959,-1.1737906917309742
1932,70.062581,0.21635130342803013,-0.02682114518583311,-2.4211094338990837,4.060968294035304,-6.220088677681976,-1.6456597949174316
1933,70.093823,0.3120479288068474,0.10518919820623869,-3.545539523801297,5.25613671035176,-8.72415500233658,-2.186212365992665
1934,70.142647,0.4323157798789273,0.2805112540618594,-4.774987043778491,6.572308939487051,-11.44095651688568,-2.6953688227162287
1935,70.175848,0.5812730259467684,0.4600808066943244,-5.909886626179582,7.7974065767056375,-13.903742878081603,-3.080553151151898
1936,70.203193,0.7489434731713913,0.6063880591063946,-6.790860102449256,8.890819094874072,-15.727539068122123,-3.3276968390600175
1937,70.238353,0.8904303505527122,0.702757539535305,-7.3006489152990035,9.821913459425936,-16.710349985581562,-3.4947217902743763
1938,70.269593,0.9422472931833822,0.7319563454972099,-7.335658215053613,10.591291590610718,-16.641216069933918,-3.7230748021091458
1939,70.303787,0.8604265335430177,0.6875273801577855,-6.819540424134598,10.900433837765721,-15.416487858983885,-3.9859506581984783
1940,70.336975,0.6741453921966167,0.5700488323424919,-5.754614422018024,10.297153877184465,-13.026661564581666,-4.063908469515298
1941,70.36628,0.4831602869989052,0.41024219906349024,-4.357292788518063,8.50910399379693,-9.892817420023427,-3.6257261107111782
1942,70.397519,0.3700730018734757,0.2468986047189259,-2.9675899212460295,6.108865584860057,-6.639534210717213,-2.7110990460744038
1943,70.431699,0.32087086909589096,0.11609850512423331,-1.886897861935266,3.7621540608906163,-4.07759263483985,-1.693700405098495
1944,70.462943,0.27049902007934223,0.03376631478727011,-1.2022587074115174,2.099986087237366,-2.5089429555610785,-0.9658386154154446
1945,70.492238,0.18660571169177945,-0.004040443299685489,-0.8316074819921143,1.1714210397698257,-1.9383561611102054,-0.6101232568298247
1946,70.525439,0.0898254803342875,-0.01812106454799265,-0.6728629524256688,0.8594725590840702,-1.8601313995761564,-0.5141776642562016
1947,70.576212,0.011823982826661628,-0.031857022673874046,-0.648097061277139,0.9496312893833347,-2.1618262546380382,-0.5771006767320377
1948,70.607462,-0.04989694150534485,-0.041209548417506736,-0.890833625086499,1.3982508780596667,-2.849367132448024,-0.836803261070685
1949,70.638812,-0.08123947832911094,-0.016388252903774686,-1.5012314798933106,2.1091028590772884,-4.376712090582536,-1.2498781946237687
1950,70.671913,-0.06310170549544555,0.08508018262982495,-2.627251927610497,2.923101849036025,-6.73386809748073,-1.7420470023586425
1951,70.703158,0.042377960559140906,0.2718812967265726,-4.077721397054565,3.585565979786291,-9.797645816723314,-2.13968265293314
1952,70.736357,0.21408307484308664,0.5160273937771913,-5.6225784001398456,4.1126266863393734,-12.89089021846533,-2.448372868372
1953,70.765661,0.4126594691955382,0.7563997789107569,-6.8745482631350585,4.646512821384311,-15.596124168746949,-2.6740352990423344
1954,70.798849,0.5694318172768408,0.9273408699744318,-7.602377699052655,5.157960419080661,-17.16142122582901,-2.852814190987387
1955,70.830107,0.6447852957499569,0.9788927884857088,-7.631669167553055,5.5912437031286375,-17.339559476111507,-2.9551731824301237
1956,70.865255,0.6199556461135824,0.89461796921915,-6.918031509828795,5.638993209264591,-15.778131846527188,-2.893949299215635
1957,70.894553,0.5218734030798695,0.7003900310716247,-5.633357802245481,5.153061464686077,-12.874583418974845,-2.61647985450299
1958,70.927765,0.40884087138667435,0.45616469056074554,-4.0718028416317695,3.9018837906431543,-9.276127649157068,-2.063669713829173
1959,70.955099,0.32502740342860964,0.2345220978849647,-2.650682693138934,2.4206527568549863,-5.975835205000964,-1.409021808865025
1960,71.005882,0.2798296902508011,0.0765280090504156,-1.5808199811525685,1.1236843496755837,-3.5719914829591204,-0.8126163189891178
1961,71.042081,0.2453361481288443,-0.00922823756904816,-0.9246367788137291,0.5269353258435818,-2.055342330584626,-0.42211820186357407
1962,71.070382,0.20292162501169222,-0.05095689127562273,-0.5688854042732797,0.28606933105563287,-1.3110184867933297,-0.20403699898843763
1963,71.09968,0.15023741696328247,-0.07012596800334114,-0.4027141133466514,0.37207661015560994,-1.0182530743538978,-0.10906405545561879
1964,71.13483,0.09908198427188625,-0.08744147579874673,-0.3463788946976827,0.5053032445670391,-1.1453640268654142,-0.08070059648379063
1965,71.168055,0.06425999591130349,-0.10570747288966187,-0.3883153453663435,0.7578830399194715,-1.403687965745613,-0.08503611909665329
1966,71.201252,0.06732941034514711,-0.12048215329884018,-0.5470500817008519,0.9512134923634303,-1.8811919413708715,-0.05229159571287526
1967,71.232508,0.13217590816248626,-0.1140874701919058,-0.9695468764516307,1.1774697202381903,-2.7903501043818473,-0.013529820097333084
1968,71.2618,0.24757410157645302,-0.055231989082291835,-1.8370490976364655,1.527929559704453,-4.478409533117051,-0.08281846197484899
1969,71.297967,0.3922466248143422,0.07207433036310792,-3.1906491176470433,2.1237009288782724,-7.153391892325892,-0.39684371918519123
1970,71.329174,0.5272955791295704,0.26101973637402676,-4.818105809870674,3.041946485204517,-10.314344047411335,-0.9371915709459362
1971,71.360925,0.658360098685528,0.46329097964550453,-6.294125147900428,4.171414017906665,-13.354357402658241,-1.5218588282173235
1972,71.390214,0.7719497145232835,0.6350435647746231,-7.411539591276714,5.337894692003094,-15.506017166237237,-2.036893625894181
1973,71.435132,0.86428476373432,0.7460065937259017,-7.994147485064998,6.2804390571001765,-16.675301546184734,-2.390261897297984
1974,71.472228,0.8939490240636931,0.7864709160114083,-8.050415557114,6.836752804240314,-16.587008086083177,-2.6251935377222857
1975,71.50154,0.8352989844531972,0.750926275031334,-7.455452434947902,6.86682663004394,-15.228849379565212,-2.691171654500266
1976,71.536696,0.6865161630651626,0.638644323030143,-6.26561901527153,6.126338587397311,-12.565936721817152,-2.5322458764333495
1977,71.56335,0.5036810493748268,0.4722773618507651,-4.6959611074150605,4.671567131612295,-9.3811409811444,-2.076703606847666
1978,71.597528,0.35457269621493115,0.2943104684796931,-3.1159551058914503,2.910142263949865,-6.318215740362665,-1.4088177810976028
1979,71.630726,0.2693352780576845,0.14763610744830458,-1.875372412130708,1.4351045362012322,-4.057662081741032,-0.7723916786190517
1980,71.661978,0.22585749685044665,0.05322584037152339,-1.0628982100692879,0.5757608246289094,-2.5111871475847662,-0.3468269366203432
1981,71.695176,0.1922548660784408,0.0015461025064738391,-0.6291132301959471,0.22284150359872337,-1.6428626341513006,-0.15345574759869982
1982,71.728367,0.11636281122413883,-0.010514767249846183,-0.31138820454032023,0.10356534985952481,-0.8525949077752897,-0.06489620546968979
1983,71.75768,0.051625438668466396,-0.009166380933873643,-0.12769662723368197,0.048414375682295376,-0.3615429240388828,-0.024389976247382802
1984,71.790866,0.025761194271785838,-0.03430959297049581,-0.08747185749725278,0.2187647335367156,-0.21155468396022303,0.03506675467462139
1985,71.820171,0.04793069361103409,-0.07975458555060591,-0.2230087159632363,0.4834538543339984,-0.6057626723272095,0.053030816177951814
1986,71.871925,0.07163415403029126,-0.13279743882384926,-0.5066530014525623,0.7306471463627853,-1.3214622874743898,0.027915133448482024
1987,71.901216,0.08786384345556338,-0.13871709802493185,-1.0266067353849415,0.8361737817517327,-2.471677477134662,-0.09613698884648222
1988,71.936372,0.15193174996007175,-0.09408281212532589,-2.0007682608441963,1.0890108841762567,-4.236377102195178,-0.31128733070956727
1989,71.963712,0.26739417139092986,0.028652230613103423,-3.408387214378334,1.6966284748929459,-6.497592493370634,-0.6350124373555726
1990,71.998858,0.41074749661241566,0.2202407842531816,-5.0329789071274575,2.581948190779311,-8.935527840222786,-1.0847495564495822
1991,72.032071,0.5377801115578786,0.44032988043466254,-6.47349122457402,3.532228440607318,-11.059983595835664,-1.5553685856815298
1992,72.061364,0.6323475535880482,0.6207606189800401,-7.373833874155854,4.380552484978814,-12.502905761048527,-1.9198562098307344
1993,72.096524,0.6835025611718125,0.6991458575586651,-7.4746787864473205,5.139967146638115,-12.577519950579177,-2.071963124789587
1994,72.125814,0.689040253710072,0.6430235848643522,-6.792368236335992,5.591037496660101,-11.122867586303764,-2.0091692671565475
1995,72.157063,0.6427681844342136,0.4726179386346446,-5.519444186436724,5.379787509872097,-8.371484584021466,-1.75628827976665
1996,72.192214,0.5659460246162507,0.256183486579452,-4.021555757129628,4.258897241746228,-5.296051015369507,-1.3547490900277257
1997,72.221509,0.48572098347629933,0.07540643868283177,-2.648130698579699,2.7579201947279763,-2.8375710310513558,-0.9051046604754693
1998,72.256665,0.41425259808042575,-0.028641203651053843,-1.6371370208869425,1.5065781778856728,-1.3903583530450416,-0.5315649165495286
1999,72.302609,0.3419933727704456,-0.058526956600903304,-1.0013692583287575,0.8954567192732723,-0.806861588279995,-0.3044127216185243
2000,72.336748,0.20341070058291766,-0.040906025510946936,-0.5068941656182124,0.4775569432197254,-0.4366305678331779,-0.14904569921211733
2001,72.368957,0.08741783137436507,-0.01657566495791736,-0.1992060046049392,0.23701401973306052,-0.21538907658628992,-0.06213801700327604
2002,72.402168,0.0,0.0,0.0,0.0,0.0,0.0
2003,72.433417,0.02177877889149828,-0.006756351230873349,-0.2116329061297041,-0.010294301903989417,-0.5891593818754564,0.0421755275530285
2004,72.464659,0.0528447464384578,0.001201942719280658,-0.7072446655643003,-0.3096321189791018,-1.7797467947731236,0.0822057504377083
2005,72.494998,0.10579636147962397,0.04310975780331486,-1.6300725338322961,-0.9506102410554784,-3.534283929634266,0.10388269915401149
2006,72.530085,0.17859537981988055,0.13749273471654866,-2.838287190057367,-1.8299923128528217,-5.163475012655096,0.034239792082759804
2007,72.560353,0.3082021769961927,0.2629498360987613,-4.223035411130752,-2.4542033735804747,-6.477962903206593,-0.08520756705413338
2008,72.595512,0.5041369008545362,0.3948207400250727,-5.559992675330439,-2.591082734085174,-7.621549496598252,-0.23657943967294895
2009,72.624806,0.7416827415573534,0.5081462557403795,-6.632245237787155,-2.0700213868972117,-8.55849985804654,-0.3948350665935981
2010,72.658005,0.97139601745611,0.5786596977952014,-7.276244180676386,-1.0170970758198894,-9.306870910326932,-0.5525902661113709
2011,72.687303,1.1110664900640084,0.5856270438503731,-7.374651473928747,0.4720000246136765,-9.372201987412442,-0.7702798538283157
2012,72.738081,1.107450686827487,0.5163324049874085,-6.808941367244994,1.8038415849418261,-8.662122951218238,-1.0195647092980495
2013,72.769324,0.9554658169710338,0.38776417981589445,-5.673732502903919,2.6447781531967185,-7.012860332087548,-1.2441899079979781
2014,72.800575,0.7297879185096031,0.22992046090043455,-4.145433875635663,2.4963637321392644,-4.9178888506893585,-1.2634544807880215
2015,72.833778,0.5097816168547042,0.09551145912915068,-2.6777250344308525,1.7560606918169892,-2.8829087006878975,-1.0606202902392832
2016,72.864106,0.3406099663913944,0.011696511333816648,-1.495588615207372,0.7527978332469187,-1.5104627711850054,-0.6952789672981154
2017,72.897311,0.17773105334541717,-0.01120583481624072,-0.6656948167555827,0.1899726364518829,-0.6419794472448829,-0.32862988288861505
2018,72.928559,0.06922952030226522,-0.008454335579659685,-0.20701363983265467,-0.03295085704062143,-0.23173780709597405,-0.09645621152874713
2019,72.961751,0.0,0.0,0.0,0.0,0.0,0.0
2020,72.991055,0.0,0.0,0.0,0.0,0.0,0.0
2021,73.026208,0.0,0.0,0.0,0.0,0.0,0.0
2022,73.057453,0.0,0.0,0.0,0.0,0.0,0.0
2023,73.090659,0.0,0.0,0.0,0.0,0.0,0.0
2024,73.123863,0.0,0.0,0.0,0.0,0.0,0.0
2025,73.176233,0.0,0.0,0.0,0.0,0.0,0.0
2026,73.203582,0.0,0.0,0.0,0.0,0.0,0.0
2027,73.238729,0.0,0.0,0.0,0.0,0.0,0.0
2028,73.271664,0.0,0.0,0.0,0.0,0.0,0.0
2029,73.299001,0.0,0.0,0.0,0.0,0.0,0.0
2030,73.332207,0.0,0.0,0.0,0.0,0.0,0.0
2031,73.363451,0.0,0.0,0.0,0.0,0.0,0.0
2032,73.394705,0.0,0.0,0.0,0.0,0.0,0.0
2033,73.425953,0.0,0.0,0.0,0.0,0.0,0.0
2034,73.45427,0.0,0.0,0.0,0.0,0.0,0.0
2035,73.489426,0.0,0.0,0.0,0.0,0.0,0.0
2036,73.520661,0.0,0.0,0.0,0.0,0.0,0.0
2037,73.551912,0.0,0.0,0.0,0.0,0.0,0.0
2038,73.602701,0.0,0.0,0.0,0.0,0.0,0.0
2039,73.633958,0.0,0.0,0.0,0.0,0.0,0.0
2040,73.66715,0.0,0.0,0.0,0.0,0.0,0.0
2041,73.698398,0.0,0.0,0.0,0.0,0.0,0.0
